Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-02-28,GBR,United Kingdom,Wales,52.302413,-3.738347,1,,,,,,False,True
2020-02-29,DEU,Germany,Baden-Württemberg,48.537648,9.049199,14,,,,,,True,True
2020-02-29,DEU,Germany,Bayern,48.947574,11.419913,15,,,,,,True,True
2020-02-29,DEU,Germany,Hessen,50.603242,9.031057,3,,,,,,True,True
2020-02-29,DEU,Germany,Nordrhein-Westfalen,51.479706,7.56208,30,,,,,,True,True
2020-02-29,DEU,Germany,Repatriierte,,,2,,,,,,True,True
2020-02-29,DEU,Germany,Rheinland-Pfalz,49.50932,7.909356,1,,,,,,True,True
2020-02-29,DEU,Germany,Schleswig Holstein,54.0295,9.705555,1,,,,,,True,True
2020-02-29,ITA,Italy,Abruzzo,42.228034,13.855137,2,0,0,2,2,0,True,True
2020-02-29,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,True,True
2020-02-29,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,True,True
2020-02-29,ITA,Italy,Campania,41.059945,14.785097,13,0,0,13,3,0,True,True
2020-02-29,ITA,Italy,Emilia-Romagna,44.536563,11.019909,217,4,0,213,97,11,True,True
2020-02-29,ITA,Italy,Lazio,41.981132,12.767224,6,0,3,3,3,0,True,True
2020-02-29,ITA,Italy,Liguria,44.144781,8.140492,42,0,4,38,5,1,True,True
2020-02-29,ITA,Italy,Lombardia,45.622479,9.770824,615,23,40,552,336,80,True,True
2020-02-29,ITA,Italy,Marche,43.366624,13.106678,11,0,0,11,8,2,True,True
2020-02-29,ITA,Italy,Piemonte,45.060965,7.926836,11,0,0,11,7,0,True,True
2020-02-29,ITA,Italy,Puglia,40.984631,16.620464,3,0,0,3,1,0,True,True
2020-02-29,ITA,Italy,Sicilia,37.587635,14.155497,4,0,2,2,1,0,True,True
2020-02-29,ITA,Italy,Toscana,43.459993,11.136697,11,0,1,10,7,0,True,True
2020-02-29,ITA,Italy,Veneto,45.664735,11.84235,191,2,0,189,35,11,True,True
2020-02-29,NLD,Netherlands,North Brabant,51.527534,5.590194,3,,,,,,True,True
2020-02-29,NLD,Netherlands,North Holland,52.551824,4.876581,2,,,,,,True,True
2020-02-29,NLD,Netherlands,South Holland,51.968696,4.541274,1,,,,,,True,True
2020-02-29,ESP,Spain,Andalucía,37.46363,-4.573552,10,,,,,,True,True
