Date,iso3,Continent,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-01-30,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-01-30,PHL,AS,Philippines,12.881958,121.766541,1,,,1,,,False,False
2020-01-30,SGP,AS,Singapore,1.364917,103.822872,10,,,10,,,False,False
2020-01-30,KOR,AS,South Korea,35.901696,127.735889,4,,,4,,,False,False
2020-01-30,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-01-30,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-01-30,TWN,AS,Taiwan,21.901806,121.471,8,,,8,,,False,False
2020-01-30,THA,AS,Thailand,13.036597,101.492515,14,,,14,,,False,False
2020-01-30,ARE,AS,United Arab Emirates,24.358745,53.982494,4,,,4,,,False,False
2020-01-30,USA,NA,United States of America,36.966428,-95.844032,5,,,5,,,False,False
2020-01-30,VNM,AS,Vietnam,15.974222,105.806431,2,,,2,,,False,False
2020-01-31,AUS,OC,Australia,-26.853388,133.275155,7,,,7,,,False,False
2020-01-31,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-01-31,CAN,NA,Canada,62.393303,-96.818145,3,,,3,,,False,False
2020-01-31,CHN,AS,China,34.668138,104.165802,9714,213,,9501,,,False,False
2020-01-31,FRA,EU,France,46.232193,2.209667,6,0,0,6,6,0,True,True
2020-01-31,IND,AS,India,21.125681,82.794998,1,,,1,,,False,False
2020-01-31,JPN,AS,Japan,34.886306,134.379711,14,,,14,,,False,False
2020-01-31,MYS,AS,Malaysia,4.109319,109.455475,8,,,8,,,False,False
2020-01-31,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-01-31,PHL,AS,Philippines,12.881958,121.766541,1,,,1,,,False,False
2020-01-31,SGP,AS,Singapore,1.364917,103.822872,13,,,13,,,False,False
2020-01-31,KOR,AS,South Korea,35.901696,127.735889,7,,,7,,,False,False
2020-01-31,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-01-31,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-01-31,TWN,AS,Taiwan,21.901806,121.471,9,,,9,,,False,False
2020-01-31,THA,AS,Thailand,13.036597,101.492515,14,,,14,,,False,False
2020-01-31,ARE,AS,United Arab Emirates,24.358745,53.982494,4,,,4,,,False,False
2020-01-31,GBR,EU,United Kingdom,54.633221,-3.432277,2,,,2,,,False,True
2020-01-31,USA,NA,United States of America,36.966428,-95.844032,6,,,6,,,False,False
2020-01-31,VNM,AS,Vietnam,15.974222,105.806431,5,,,5,,,False,False
2020-02-01,AUS,OC,Australia,-26.853388,133.275155,9,,,9,,,False,False
2020-02-01,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-02-01,CAN,NA,Canada,62.393303,-96.818145,4,,,4,,,False,False
2020-02-01,CHN,AS,China,34.668138,104.165802,11809,259,,11550,,,False,False
2020-02-01,IND,AS,India,21.125681,82.794998,1,,,1,,,False,False
2020-02-01,JPN,AS,Japan,34.886306,134.379711,15,,,15,,,False,False
2020-02-01,MYS,AS,Malaysia,4.109319,109.455475,8,,,8,,,False,False
2020-02-01,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-02-01,PHL,AS,Philippines,12.881958,121.766541,1,,,1,,,False,False
2020-02-01,SGP,AS,Singapore,1.364917,103.822872,16,,,16,,,False,False
2020-02-01,KOR,AS,South Korea,35.901696,127.735889,12,,,12,,,False,False
2020-02-01,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-02-01,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-02-01,TWN,AS,Taiwan,21.901806,121.471,10,,,10,,,False,False
2020-02-01,THA,AS,Thailand,13.036597,101.492515,19,,,19,,,False,False
2020-02-01,ARE,AS,United Arab Emirates,24.358745,53.982494,4,,,4,,,False,False
2020-02-01,USA,NA,United States of America,36.966428,-95.844032,7,,,7,,,False,False
2020-02-01,VNM,AS,Vietnam,15.974222,105.806431,5,,,5,,,False,False
2020-02-02,AUS,OC,Australia,-26.853388,133.275155,11,,,11,,,False,False
2020-02-02,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-02-02,CAN,NA,Canada,62.393303,-96.818145,4,,,4,,,False,False
2020-02-02,CHN,AS,China,34.668138,104.165802,14399,304,,14095,,,False,False
2020-02-02,IND,AS,India,21.125681,82.794998,2,,,2,,,False,False
2020-02-02,JPN,AS,Japan,34.886306,134.379711,19,,,19,,,False,False
2020-02-02,MYS,AS,Malaysia,4.109319,109.455475,8,,,8,,,False,False
2020-02-02,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-02-02,PHL,AS,Philippines,12.881958,121.766541,2,1,,1,,,False,False
2020-02-02,SGP,AS,Singapore,1.364917,103.822872,18,,,18,,,False,False
2020-02-02,KOR,AS,South Korea,35.901696,127.735889,15,,,15,,,False,False
2020-02-02,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-02-02,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-02-02,TWN,AS,Taiwan,21.901806,121.471,10,,,10,,,False,False
2020-02-02,THA,AS,Thailand,13.036597,101.492515,19,,,19,,,False,False
2020-02-02,ARE,AS,United Arab Emirates,24.358745,53.982494,5,,,5,,,False,False
2020-02-02,USA,NA,United States of America,36.966428,-95.844032,8,,,8,,,False,False
2020-02-02,VNM,AS,Vietnam,15.974222,105.806431,7,,,7,,,False,False
